Clients,Download,DELETE,PUT update,POST insert ,GET 100000,GET 10000,Indekss
0,0,0,0,0,0,0,0
5,2.238429,0.04653334,0.07166667,0.07953333,0.5263333,0.204,0.06878947
10,3.000476,0.09775,0.1496,0.0968,0.997,0.2582308,0.04907692
15,3.171368,0.1252105,0.2151579,0.17225,2.586476,0.42572,0.065625
20,3.173071,0.138,0.2078696,0.17152,4.42948,0.5766,0.05436842
25,4.728636,0.1439048,0.2915238,0.2549444,5.339667,0.7754,0.1617407
30,3.830583,0.27885,0.5668,0.3861,6.596368,0.9766111,0.1355882
35,5.582708,0.2545384,0.2654286,0.318875,8.919294,1.462,0.1413793
40,5.1182,0.2342632,0.3275556,0.415375,9.574166,1.7695,0.1086
45,4.318,0.4627368,0.6528947,0.3381,8.325765,1.340539,0.07566667
50,4.768769,0.2645454,0.6045218,0.3275455,14.85796,1.926857,0.1053333
55,6.157,0.4125333,0.4630714,0.6034,14.35123,1.92012,0.11
60,5.775286,0.5353158,0.6362857,0.8937727,12.48559,1.372235,0.1044737
65,7.384833,0.4344286,0.792,0.9063333,24.4516,3.078222,0.2003636
70,8.262087,0.5151666,1.025154,0.7335,23.99023,3.8268,0.2132069
75,5.175875,0.63975,0.8266,0.5916429,17.92073,4.125464,0.156381
80,4.790941,0.1608333,0.9749445,0.6601111,19.03039,2.6832,0.1611364
85,4.727833,0.2396667,1.017533,0.5049231,16.67562,4.343476,0.1092174
90,3.455375,0.27275,0.9744375,0.8300667,23.53093,3.97155,0.1412857
95,3.983583,0.6730555,0.9715263,0.8746,26.94462,3.825895,0.1198824
100,5.613733,1.020133,0.9618,1.542267,22.61037,2.717316,0.13785
105,5.304714,0.66725,1.026312,1.134765,35.40757,5.0738,0.626
110,6.05315,0.8785625,0.9827333,1.354571,39.177,6.12984,0.14172
115,4.666222,0.849647,1.449222,1.115737,30.653,6.227714,0.1652143
120,6.916833,1.188667,0.6494167,1.304214,40.941,11.34027,0.1857826
125,5.302353,1.43175,1.96144,1.860667,32.65382,3.730704,0.1026818
130,4.578444,3.03724,2.074533,2.667769,24.52927,4.844,0.1190435
135,5.645222,6.461125,3.061333,3.339263,35.51942,6.54212,0.1498696
140,3.319471,3.820611,3.748588,4.111125,49.16342,8.809889,0.09109091
145,2.6236,3.960786,4.555048,4.174833,43.90175,7.488478,0.06895
150,2.232812,4.950833,5.265706,5.094882,50.78753,8.6697,0.07161905
155,2.281786,5.822,5.930769,5.936429,42.69456,9.6515,0.05947369
160,2.332267,5.703429,5.9622,5.855955,48.76043,9.695,0.06875
165,3.525769,5.525045,5.716424,5.36075,32.6895,8.242888,0.151
170,4.527312,7.773368,8.398889,7.230667,36.66414,9.097462,0.2076667
175,5.209769,11.3903,11.17262,9.9769,65.52869,15.12141,0.1356774
180,2.242,6.962538,7.245867,6.880913,58.07106,13.55942,0.05138462
185,2.852867,7.5585,7.677333,7.259316,45.58412,9.82225,0.09484211
190,6.145167,8.165348,8.833917,8.940637,40.76254,9.603375,0.2940556
195,7.684667,10.14777,9.882417,8.963715,32.2465,15.05857,0.26
200,11.55404,13.85555,16.06611,14.882,54.80342,17.7135,0.4806667
205,10.83343,10.66708,12.6016,9.765938,69.88609,13.77304,0.32045
210,7.239953,10.655,10.61071,10.56318,47.58207,16.75582,0.1781923
215,3.160857,8.560357,8.530607,8.2422,40.82836,15.45216,0.05194737
220,2.316786,13.59736,12.80338,13.44747,25.07656,13.912,0.06368421
225,9.826834,15.97557,15.974,16.03683,15.90684,16.29424,0.5088
230,13.55808,14.82523,15.7215,15.47495,72.15628,22.78111,0.8744737
235,15.24875,9.862473,11.03106,9.802415,97.41634,17.3854,0.5165
240,15.23367,9.141039,9.649703,8.907143,108.9272,14.47,1.49421
245,17.85736,10.94829,11.37677,10.515,84.1342,22.5005,1.281588
250,23.88313,15.20795,18.8785,15.74567,,26.27145,1.61
250,28.09119,16.67677,16.83633,17.14,,32.28539,1.651538
250,33.4857,18.0845,20.7664,,25.76229,24.01264,1.734889
250,37.05362,19.355,19.66,,32.40108,22.36611,1.605167
250,38.20077,18.50917,,18.53377,49.49241,20.00192,0.8926364
250,39.63124,17.89,13.17791,14.69712,95.97805,17.49644,0.5565926
250,29.49725,6.225077,7.958692,8.285846,53.43458,12.642,0.3376471
250,6.970067,12.03169,12.05654,12.74991,29.2276,20.55914,0.2054667
250,9.432445,14.67586,15.41548,19.99036,,24.86457,0.86625
250,19.423,10.83398,12.53988,14.35,43.124,36.01128,2.13775
250,28.176,9.548808,11.686,8.23,,33.72083,2.80475
